title,kicker,image,link,word_count_title,char_count_title,capital_words_title,word_count_kicker,char_count_kicker,valid_image_url,valid_link_url,missing_images
Pennsylvania sets state Super Bowl betting record with $101.5 million in wagers,A 20.4% INCREASE FROM LAST YEAR’S HIGH,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/12/72502/1739368453-super-bowl-lix.jpg,https://www.yogonet.com/international/news/2025/02/18/95546-pennsylvania-sets-state-super-bowl-betting-record-with-1015-million-in-wagers,12,79,"['Pennsylvania', 'Super', 'Bowl']",7,38,True,True,False
Brazil's Secretariat of Prizes and Betting issues 21 new definitive authorizations for operators,A TOTAL OF 37 SITES AUTHORIZED,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/21/67087/1724244717-ministerio-hacienda-brasil-04.jpg,https://www.yogonet.com/international/news/2025/02/12/94883-brazil-39s-secretariat-of-prizes-and-betting-issues-21-new-definitive-authorizations-for-operators,13,96,"['Secretariat', 'Prizes', 'Betting']",6,30,True,True,False
"New York sports betting hits record $2.48 billion in January, led by FanDuel","GGR HITS $247 MILLION, UP 16.7% Y-O-Y",https://imagenesyogonet.b-cdn.net/data/imagenes/2024/10/15/68940/1728996020-espn-bet-new-york.jpg,https://www.yogonet.com/international/news/2025/02/12/94906-new-york-sports-betting-hits-record-248-billion-in-january-led-by-fanduel,13,76,"['New', 'York', 'January,']",7,37,True,True,False
Hawaii sports betting bill moves forward as casino legislation fails,HOUSE BILL 1308 PASSES 6-4,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/02/09/52155/1675971253-legislatura-hawaii.jpg,https://www.yogonet.com/international/news/2025/02/21/95897-hawaii-sports-betting-bill-moves-forward-as-casino-legislation-fails,10,68,['Hawaii'],5,26,True,True,False
Wales to become first UK nation to ban greyhound racing,COULD BE IMPLEMENTED BY MAY 2026,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/05/03/45369/1651597368-greyhound-carrera-galgos-generica.jpg,https://www.yogonet.com/international/news/2025/02/19/95658-wales-to-become-first-uk-nation-to-ban-greyhound-racing,10,55,['Wales'],6,32,True,True,False
Light & Wonder to acquire Grover Gaming’s charitable assets in $1.05 billion deal,"$850M UPFRONT, $200M EARN-OUT",https://imagenesyogonet.b-cdn.net/data/imagenes/2023/05/22/54659/1684766094-light-wonder-generica.jpg,https://www.yogonet.com/international/news/2025/02/19/95645-light-wonder-to-acquire-grover-gamings-charitable-assets-in-105-billion-deal,13,81,"['Light', 'Wonder', 'Grover']",4,29,True,True,False
Lawmakers reintroduce bill to eliminate federal excise tax on sports betting,TO REPEAL THE 0.25% HANDLE TAX,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/06/13/26001/1625329682-apuestas-deportivas-generica-24.jpg,https://www.yogonet.com/international/news/2025/02/19/95646-lawmakers-reintroduce-bill-to-eliminate-federal-excise-tax-on-sports-betting,11,76,['Lawmakers'],6,30,True,True,False
"""Argentina is a success story for BetWarrior, and we want to replicate that in Brazil and Peru""","LEANDRO RIVAS, BETWARRIOR'S GENERAL MANAGER",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/17/72607/1739799968-leandro-rivas-betwarrior-gerente-general-2.jpg,https://www.yogonet.com/international/news/2025/02/20/95668--34argentina-is-a-success-story-for-betwarrior-and-we-want-to-replicate-that-in-brazil-and-peru-34,17,95,"['""Argentina', 'Brazil', 'Peru""']",5,43,True,True,False
Victor Arias: “Personalization and interactivity will continue to be main features this year”,VP OF LATAM OPERATIONS AT ARRISE POWERING PRAGMATIC PLAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/22/71833/1737560884-ice-barcelona-2025-1-17-victor-arias-pragmatic-play.jpg,https://www.yogonet.com/international/news/2025/02/19/95572-victor-arias-personalization-and-interactivity-will-continue-to-be-main-features-this-year,13,93,"['Victor', 'Arias:', '“Personalization']",9,56,True,True,False
"""Regulating the Game 2025 Sydney is THE event for anyone serious about shaping the future of gambling regulation""",INTERVIEW WITH PAUL NEWSON,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/05/12/54485/1683915932-paul-newson-founder-principal-senet.jpg,https://www.yogonet.com/international/news/2025/02/18/95526--34regulating-the-game-2025-sydney-is-the-event-for-anyone-serious-about-shaping-the-future-of-gambling-regulation-34,18,113,"['""Regulating', 'Game', 'Sydney']",4,26,True,True,False
"SUZOHAPP: ""The focus for 2025 is to re-energize the company and be that partner that everyone who's worked with us knows""",INTERVIEW AT ICE BARCELONA 2025,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/23/71932/1737639373-ice-barcelona-2025-1-51-george-mcdowell-jim-kirner-suzohapp.jpg,https://www.yogonet.com/international/news/2025/02/17/94322-suzohapp-34the-focus-for-2025-is-to-reenergize-the-company-and-be-that-partner-that-everyone-who-39s-worked-with-us-knows-34,21,121,"['""The']",5,31,True,True,False
Casino Estoril installs Novomatic's Novovision CMS following launch at sister casino,CASINO LISBOA WENT LIVE IN DECEMBER,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/02/19/72716/1739976208-novomatic-casino-estoril-novovision-cms-installation-1.jpg,https://www.yogonet.com/international/news/2025/02/20/95660-casino-estoril-installs-novomatic-39s-novovision-cms-following-launch-at-sister-casino,11,84,"['Casino', 'Estoril', 'Novovision']",6,35,True,True,False
Las Vegas: Henderson approves 14.1-acre expansion for Inspirada Station site,APPROVED IN A 5-0 VOTE,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/11/13/59564/1699881685-station-casinos-inspirada-hotel-henderson-render-01.jpg,https://www.yogonet.com/international/news/2025/02/18/95420-las-vegas-henderson-approves-141acre-expansion-for-inspirada-station-site,10,76,"['Las', 'Vegas:', 'Henderson', 'Inspirada', 'Station']",5,22,True,True,False
